sampleid,date,Month,Year,Week,day_length,season,mooring,mooring_full,lat,lon,depth,Zone,chlorophyll,water.temp,salinity,sig,O2_conc,O2_sat,NO3_NO2,PO4,NO2,SiO4,pCO2,pH,temp,sal,sig.1,O2_conc.1,O2_sat.1,AtlanticWater_perc,PolarWater_perc,daylight,rho,ice_conc
08_1718_HG_1,2017-08-15,August,Y_2017,33,24,autumn,HG-IV,HG-IV-S-2,79.0226,4.25986,30.012168,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.255,35.087578,27.589178,288.914889,94.214576,0.939369,0.060631,24,1027.728418,0
08_1718_HG_2,2017-08-30,August,Y_2017,35,20.96614303,autumn,HG-IV,HG-IV-S-2,79.0226,4.25986,29.266238,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81,35.083191,27.511121,297.925496,98.39432,0.926808,0.073192,19.95208366,1027.646481,0
09_1718_HG_1,2017-09-14,September,Y_2017,37,15.25418073,autumn,HG-IV,HG-IV-S-2,79.0226,4.25986,29.472012,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02975,34.850989,27.431498,300.752635,97.394943,0.664789,0.335211,14.77111667,1027.568424,0
09_1718_HG_2,2017-09-29,September,Y_2017,39,11.14906903,autumn,HG-IV,HG-IV-S-2,79.0226,4.25986,30.434597,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.534,35.057805,27.528654,296.978697,97.445583,0.902059,0.097941,10.69384973,1027.669607,0
10_1718_HG,2017-10-29,October,Y_2017,44,0,autumn,HG-IV,HG-IV-S-2,79.0226,4.25986,31.014322,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.129275,34.962448,27.630641,301.154122,95.573792,0.814099,0.185901,0,1027.775434,0
11_1718_HG,2017-11-28,November,Y_2017,48,0,winter,HG-IV,HG-IV-S-2,79.0226,4.25986,30.117033,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27625,34.318334,27.541148,342.747529,96.010056,0.134587,0.865413,0,1027.685982,0
12_1718_HG,2017-12-28,December,Y_2017,52,0,winter,HG-IV,HG-IV-S-2,79.0226,4.25986,31.873025,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07945,35.029677,27.801725,307.868414,95.342352,0.912539,0.087461,0,1027.951355,0
08_1617_HG_1,2016-08-01,August,Y_2016,32,24,autumn,HG-IV,HG-IV-S-1,79.023,4.2618,32.959259,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.609775,35.115922,27.694,301.693646,96.94248,0.988175,0.011825,24,1027.847457,0
08_1617_HG_2,2016-08-15,August,Y_2016,34,24,autumn,HG-IV,HG-IV-S-1,79.023,4.2618,46.302253,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.997875,35.096927,27.752878,293.268355,92.873932,0.979198,0.020802,24,1027.969096,0
09_1617_HG_1,2016-09-01,September,Y_2016,36,19.37908558,autumn,HG-IV,HG-IV-S-1,79.023,4.2618,27.227281,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.44085,35.046951,27.532509,296.445172,97.055701,0.89325,0.10675,18.63727378,1027.65868,0
09_1617_HG_2,2016-09-15,September,Y_2016,38,14.68103405,autumn,HG-IV,HG-IV-S-1,79.023,4.2618,28.721133,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.358525,35.006051,27.511141,295.234433,96.447701,0.845524,0.154476,14.21126522,1027.644331,48.719947
10_1617_HG,2016-10-01,October,Y_2016,40,10.33462692,autumn,HG-IV,HG-IV-S-1,79.023,4.2618,30.059654,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.266,35.105679,27.602065,293.502872,95.747591,0.966254,0.033746,9.866996472,1027.741478,0
11_1617_HG,2016-11-01,November,Y_2016,45,0,winter,HG-IV,HG-IV-S-1,79.023,4.2618,33.976238,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.264875,34.972676,27.622482,303.213303,96.53969,0.827845,0.172155,0,1027.781142,0
12_1617_HG,2016-12-01,December,Y_2016,49,0,winter,HG-IV,HG-IV-S-1,79.023,4.2618,29.184126,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.005525,34.496222,27.567295,326.20051,95.617424,0.317313,0.682687,0,1027.706557,0
02_1617_HG_2,2017-02-14,February,Y_2017,7,0,winter,HG-IV,HG-IV-S-1,79.023,4.2618,42.640139,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3722,35.085683,27.814805,305.846504,95.420778,0.977716,0.022284,0,1028.014608,0.001055
03_1617_HG_2,2017-03-08,March,Y_2017,10,8.918517194,winter,HG-IV,HG-IV-S-1,79.023,4.2618,33.8229,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2696,34.393097,27.628046,333.121728,92.037525,0.231738,0.768262,7.982287835,1027.793091,0.23043
03_1617_HG_3,2017-03-15,March,Y_2017,11,10.8923493,winter,HG-IV,HG-IV-S-1,79.023,4.2618,28.172069,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.850875,35.085386,27.869954,308.624449,95.092445,0.989753,0.010247,10.04272474,1028.002374,0
04_1617_HG_1,2017-04-01,April,Y_2017,13,15.63451356,winter,HG-IV,HG-IV-S-1,79.023,4.2618,48.112512,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5569,35.004713,27.929081,312.453551,93.215985,0.939749,0.060251,14.73618321,1028.156949,2.137521
04_1617_HG_2,2017-04-15,April,Y_2017,15,21.3023341,spring,HG-IV,HG-IV-S-1,79.023,4.2618,26.814739,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.331725,35.037895,27.974829,320.003116,94.963244,0.99503,0.00497,19.50986739,1028.102052,0
05_1617_HG_1,2017-05-01,May,Y_2017,18,24,spring,HG-IV,HG-IV-S-1,79.023,4.2618,31.138973,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54705,35.035032,27.860314,316.021708,96.627622,0.92992,0.07008,24,1028.007322,7.403098
05_1617_HG_2,2017-05-15,May,Y_2017,20,24,spring,HG-IV,HG-IV-S-1,79.023,4.2618,29.842009,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.193,34.953484,27.829838,317.950141,96.318843,0.842946,0.157054,24,1027.970928,0.380531
06_1617_HG_1,2017-06-01,June,Y_2017,22,24,spring,HG-IV,HG-IV-S-1,79.023,4.2618,27.107575,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.451775,34.985094,27.830143,320.983036,97.874859,0.874722,0.125278,24,1027.958014,0
06_1617_HG_2,2017-06-15,June,Y_2017,24,24,summer,HG-IV,HG-IV-S-1,79.023,4.2618,27.303458,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.710225,35.085507,27.776699,315.492767,99.226692,0.968432,0.031568,24,1027.904524,11.426901
07_1617_HG_1,2017-07-01,July,Y_2017,26,24,summer,HG-IV,HG-IV-S-1,79.023,4.2618,44.784788,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24375,35.075001,27.820138,317.049382,98.610425,0.965812,0.034188,24,1028.030311,0.098766
07_1617_HG_2,2017-07-08,July,Y_2017,27,24,summer,HG-IV,HG-IV-S-1,79.023,4.2618,33.104683,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.536475,34.79253,27.668222,339.340529,103.539085,0.649302,0.350698,24,1027.824449,12.786571
08_1718_F4_1,2017-08-16,August,Y_2017,33,24,autumn,F4,F4-S-2,79.01175,6.95891,25.096308,Euphotic,1.1,6.7,35.1,27.5,313.1,103.2,4.5,0.4,0,2.6,424.5,NA,7.441625,35.030327,27.380402,NA,NA,0.849152,0.150848,24,1027.496109,0
07_1617_HG_3,2017-07-15,July,Y_2017,28,24,summer,HG-IV,HG-IV-S-1,79.023,4.2618,44.462301,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4842,35.064373,27.78533,309.064664,96.668729,NA,NA,24,1027.993761,6.865094
08_1718_F4_2,2017-08-30,August,Y_2017,35,20.9478182,autumn,F4,F4-S-2,79.01175,6.95891,33.619123,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.215675,35.056727,27.433429,294.188828,98.044114,0.886109,0.113891,19.93890408,1027.58881,0
07_1617_HG_4,2017-07-22,July,Y_2017,29,24,summer,HG-IV,HG-IV-S-1,79.023,4.2618,39.202519,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.387625,34.898576,27.663151,317.618956,98.978445,NA,NA,24,1027.848137,48.131429
09_1718_F4_1,2017-09-14,September,Y_2017,37,15.25069659,autumn,F4,F4-S-2,79.01175,6.95891,30.520678,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.31495,34.882956,27.419564,303.17877,98.852185,0.695548,0.304452,14.76818263,1027.561306,0
09_1718_F4_2,2017-09-29,September,Y_2017,39,11.14995533,autumn,F4,F4-S-2,79.01175,6.95891,30.238729,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9158,35.043439,27.465207,297.600046,98.494769,0.875776,0.124224,10.69518458,1027.604977,0
10_1718_F4,2017-10-29,October,Y_2017,44,0,autumn,F4,F4-S-2,79.01175,6.95891,37.948161,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.625225,35.007391,27.476673,293.743791,96.548308,0.838321,0.161679,0,1027.652344,0
11_1718_F4,2017-11-28,November,Y_2017,48,0,winter,F4,F4-S-2,79.01175,6.95891,24.49579,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.10485,34.962369,27.633426,301.62124,95.668085,0.812172,0.187828,0,1027.747785,0
12_1718_F4,2017-12-28,December,Y_2017,52,0,winter,F4,F4-S-2,79.01175,6.95891,26.063861,Euphotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.259475,35.022407,27.776629,308.605888,95.980063,0.898377,0.101623,0,1027.898871,0
08_1617_F4_1,2016-08-01,August,Y_2016,32,24,autumn,F4,F4-S-1,79.0118,6.9648,28.828978,Euphotic,0.7,6.2,35.1,27.6,306.3,99.7,3.5,0.5,0,2.3,320.9,8.06,6.15185,35.097603,27.610247,306.297096,99.668675,0.96213,0.03787,24,1027.744396,0
08_1617_F4_2,2016-08-15,August,Y_2016,34,24,autumn,F4,F4-S-1,79.0118,6.9648,35.815309,Euphotic,1.3,6.9,35.1,27.5,292.6,96.8,1.4,0.3,0,1.8,333.3,8.12,6.897375,35.083926,27.499707,292.634541,96.838782,0.928418,0.071582,24,1027.665293,0
09_1617_F4_1,2016-09-01,September,Y_2016,36,19.36759329,autumn,F4,F4-S-1,79.0118,6.9648,28.603417,Euphotic,0,7.2,34.9,27.3,295.5,98.4,NA,NA,NA,NA,342.9,8.17,7.218875,34.902436,27.311556,295.507405,98.374534,0.707669,0.292331,18.62784368,1027.443676,0
09_1617_F4_2,2016-09-15,September,Y_2016,38,14.6781361,autumn,F4,F4-S-1,79.0118,6.9648,28.610343,Euphotic,0,6.7,34.9,27.4,298.4,98.3,2.2,0.3,0,1.1,323.7,8.15,6.722225,34.919176,27.393745,298.449486,98.250476,0.735315,0.264685,14.20888855,1027.52621,0
10_1617_F4,2016-10-01,October,Y_2016,40,10.33641741,autumn,F4,F4-S-1,79.0118,6.9648,37.238861,Euphotic,0,6.6,35.1,27.5,294.8,96.9,NA,NA,NA,NA,347.4,8.12,6.586225,35.081289,27.540223,294.838504,96.874642,0.931967,0.068033,9.869284414,1027.712641,0
12_1617_F4,2016-12-01,December,Y_2016,49,0,winter,F4,F4-S-1,79.0118,6.9648,36.51571,Euphotic,0,5.1,35.1,27.7,303.5,96.4,11,0.7,0,3.8,368.9,8.09,5.120375,35.105359,27.745082,303.464833,96.388337,0.987779,0.012221,0,1027.91547,0
02_1617_F4_2,2017-02-14,February,Y_2017,7,0,winter,F4,F4-S-1,79.0118,6.9648,29.083229,Euphotic,0,4.6,35.1,27.8,307.1,96.2,12.4,0.8,0,4.4,370.3,8.09,4.550625,35.096566,27.803569,307.139608,96.243544,0.988118,0.011882,0,1027.939743,0
03_1617_F4_2,2017-03-08,March,Y_2017,10,8.921946869,winter,F4,F4-S-1,79.0118,6.9648,29.100047,Euphotic,0,4.5,35.1,27.8,307.2,96.1,12.2,0.8,0,4.4,371.1,8.1,4.45755,35.096652,27.814,307.221556,96.056033,0.989595,0.010405,7.986919351,1027.95031,0
03_1617_F4_4,2017-03-22,March,Y_2017,12,12.79917955,winter,F4,F4-S-1,79.0118,6.9648,42.974517,Euphotic,0,3.5,35.1,27.9,312.9,95.5,12.3,0.8,0,4.5,364.5,8.11,3.4905,35.05042,27.878469,312.906451,95.546169,0.965122,0.034878,11.97103011,1028.081054,0
04_1617_F4_1,2017-04-01,April,Y_2017,13,15.6304272,winter,F4,F4-S-1,79.0118,6.9648,28.952641,Euphotic,0,3,35,27.9,315.8,95.2,12.4,0.8,0,4.5,364.1,8.11,2.9805,35.025021,27.907031,315.772818,95.211811,0.956171,0.043829,14.73319619,1028.043916,0
04_1617_F4_2,2017-04-15,April,Y_2017,15,21.28082817,spring,F4,F4-S-1,79.0118,6.9648,38.510058,Euphotic,0.6,3.9,35.1,27.9,313.3,96.6,12.5,0.8,0,4.6,368.1,8.1,3.876625,35.079672,27.862813,313.270016,96.577373,0.98192,0.01808,19.49790411,1028.04379,0
05_1617_F4_1,2017-05-01,May,Y_2017,18,24,spring,F4,F4-S-1,79.0118,6.9648,28.674647,Euphotic,0.5,4.1,35.1,27.8,317.8,98.4,11.7,0.7,0,4.4,362.5,8.11,4.0687,35.073381,27.837605,317.759007,98.412882,0.968832,0.031168,24,1027.972223,0
05_1617_F4_2,2017-05-15,May,Y_2017,20,24,spring,F4,F4-S-1,79.0118,6.9648,30.498913,Euphotic,0.3,3.8,35.1,27.9,321.2,98.7,11.8,0.7,0,4.6,364.1,8.11,3.757025,35.075037,27.871366,321.244305,98.748547,0.980926,0.019074,24,1028.014811,0
06_1617_F4_1,2017-06-01,June,Y_2017,22,24,spring,F4,F4-S-1,79.0118,6.9648,28.469862,Euphotic,2.9,4.2,35.1,27.8,320.8,99.7,11.5,0.7,0,4.3,380.8,8.11,4.209775,35.081622,27.829092,320.780764,99.691883,0.976085,0.023915,24,1027.96264,0
06_1617_F4_2,2017-06-15,June,Y_2017,24,24,summer,F4,F4-S-1,79.0118,6.9648,41.973411,Euphotic,1.5,5,35.1,27.7,313.5,99.2,9.8,0.7,0,3.9,375,NA,4.971475,35.085037,27.7465,313.501056,99.21124,NA,NA,24,1027.942533,0
07_1617_F4_1,2017-07-01,July,Y_2017,26,24,summer,F4,F4-S-1,79.0118,6.9648,33.840721,Euphotic,1.2,5.8,35.1,27.6,328.1,105.8,5.8,0.5,0,3.7,344.9,NA,5.793625,35.066082,27.631576,328.057231,105.825898,NA,NA,24,1027.788996,0
07_1617_F4_2,2017-07-08,July,Y_2017,27,24,summer,F4,F4-S-1,79.0118,6.9648,28.845797,Euphotic,1.1,6.2,35.1,27.6,335.4,109.3,5.3,0.5,0,2.1,376.7,NA,6.242025,35.063871,27.571829,335.449015,109.337737,NA,NA,24,1027.705987,0
07_1617_F4_3,2017-07-15,July,Y_2017,28,24,summer,F4,F4-S-1,79.0118,6.9648,29.766835,Euphotic,0.9,6,35.1,27.6,317.3,102.8,NA,0.2,0,3,421.1,NA,5.979575,35.066977,27.60844,317.345911,102.824184,NA,NA,24,1027.746944,0
